platform,title,brand,seller,category,final_usd,initial_usd,currency,rating,reviews,images,discount_pct,available,has_video,price_tier,has_rating,has_review,has_discount,title_len,root_cat
Amazon,"Accutire MS-4021B Digital Tire Pressure Gauge with 4 Valve Caps, 5-150psi (psi, bar, kPa, kg/cm2)",Accutire,Cit███ran███Dir██████,"[""Automotive"",""Tools & Equipment"",""Tire & Wheel Tools"",""Tire Repair Tools""]",17.95,17.95,USD,4.4,8034.0,1.0,0.0,True,False,中价$10-25,True,True,False,97,"[""Automotive"",""Tools & Equipment"",""Tire & Wheel Tools"",""Tire Repair Tools""]"
Amazon,PULOTE 100PCS Pink Plastic Plates - Heavy Duty Pink Disposable Plates - Pink and Gold Plastic Plates Include 50PCS Pink ,PULOTE,PUL███,"[""Health & Household"",""Household Supplies"",""Paper & Plastic"",""Disposable Plates,",44.99,44.99,USD,4.7,466.0,7.0,0.0,True,False,中高价$25-50,True,True,False,120,"[""Health & Household"",""Household Supplies"",""Paper & Plastic"",""Disposable Plates,"
Amazon,Aqua Select Resin Step in a Box White | Ultra Sturdy Steps,Aqua Select,Sav███ore███ Po█████████es,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Parts & Accessories"",""Slid",399.99,399.99,USD,3.5,56.0,1.0,0.0,False,False,超高价$100+,True,True,False,58,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Parts & Accessories"",""Slid"
Amazon,"Art3d 4-Piece Wood Slat Acoustic Panels for Stylish Decor and Noise Reduction, 3D Textured Panel for Ceiling and Wall, W",Art3d,Art███Sto███,"[""Tools & Home Improvement"",""Paint, Wall Treatments & Supplies"",""Wallpaper & Wal",161.49,199.99,USD,4.5,110.0,9.0,19.250962548127408,True,False,超高价$100+,True,True,True,120,"[""Tools & Home Improvement"",""Paint, Wall Treatments & Supplies"",""Wallpaper & Wal"
Amazon,4th of July Door Sign Independence Day Wreath Patriotic Door Decoration Flower US Wooden Sign for Memorial Day Front for,FANTPK,Lin███,"[""Home & Kitchen"",""Home Décor Products"",""Home Décor Accents"",""Wreaths""]",7.99,11.98,USD,4.2,24.0,7.0,33.30550918196995,True,False,低价$3-10,True,True,True,120,"[""Home & Kitchen"",""Home Décor Products"",""Home Décor Accents"",""Wreaths""]"
Amazon,In The Swim Chlorine Neutralizer for Swimming Pools - Quickly Reduces Chlorine Sanitizer Levels - 90% Sodium Thiosulfate,In The Swim,In ███ Sw███Poo█████████s,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Cleaning Tools & Chemicals",19.56,22.56,USD,4.5,356.0,6.0,13.297872340425531,True,False,中价$10-25,True,True,True,120,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Cleaning Tools & Chemicals"
Amazon,Seresto Large Dog Vet-Recommended Flea & Tick Treatment & Prevention Collar for Dogs Over 18 lbs. | 2-Pack,Seresto,Pet███nd ███,"[""Pet Supplies"",""Dogs"",""Flea & Tick Control"",""Flea & Tick Collars""]",103.0,146.38,USD,4.5,101767.0,9.0,29.635196065036208,True,False,超高价$100+,True,True,True,106,"[""Pet Supplies"",""Dogs"",""Flea & Tick Control"",""Flea & Tick Collars""]"
Amazon,"Reinforced Cat Screen Door, 32X82” Heavy Duty Pets Proof Screen Door with Bilateral Zipper, Prevent Dogs Cats Running Ou",MYPIN,nic███eal███,"[""Pet Supplies"",""Cats"",""Cat Doors, Steps, Nets & Pens"",""Cat Doors""]",21.99,21.99,USD,4.1,141.0,9.0,0.0,True,False,中价$10-25,True,True,False,120,"[""Pet Supplies"",""Cats"",""Cat Doors, Steps, Nets & Pens"",""Cat Doors""]"
Amazon,"2-2440-02 Flocculant for Pool, 1-Quart, 2-Pack",SpaChoice,Ama███.co███,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Cleaning Tools & Chemicals",37.99,37.99,USD,4.4,199.0,3.0,0.0,True,False,中高价$25-50,True,True,False,46,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Cleaning Tools & Chemicals"
Amazon,"HOST FREEZE Margarita Cocktail Glasses, Frozen Cup Plastic Margarita Glasses Drinking Set, Cinco de Mayo, Taco Party, Fi",Host,Tru███ran███Inc███,"[""Home & Kitchen"",""Kitchen & Dining"",""Dining & Entertaining"",""Glassware & Drinkw",17.99,26.99,USD,4.6,5732.0,1.0,33.34568358651352,True,False,中价$10-25,True,True,True,120,"[""Home & Kitchen"",""Kitchen & Dining"",""Dining & Entertaining"",""Glassware & Drinkw"
